name,lat,lon
Herzliya Pituah,32.174202,34.802932
Wotho,10.16575,166.01022
Las Matas de Farfán,18.8782625,-71.5036905
Novomoskovsk,53.9559626,38.2899306
Sovetskoye,52.2774362,85.4051549
Kalabahi,-8.213998,124.518169
San Miguel,19.3579802,-99.0806088
Shabel’skoye,46.8538849,38.4738904
Sirāhā,26.7957017,86.2970998
Partido,18.4885697,-69.9299089
Boa Esperança,-24.2670414,-52.7241914
Xiniu,27.817808,114.917346
Zhuping,27.062407,108.739519
Nal’chik,43.5661719,43.4895256
Águas Vermelhas,-15.7311162,-41.5212742
Město,49.9718258,12.8846277
Arcueil,46.7713478,3.8379578
Cipesing,-6.8057733,107.5609228
Cikijing,-7.0117033,108.3682641
Panenjoan,-6.9727564,107.8243267
Bibrka,49.6376889,24.2948622
Melgar,4.203572,-74.643383
General Enrique Mosconi,-38.7589114,-62.2749967
Makati City,14.5598164,121.0409412
Hucheng,36.1899557,117.1168644
Apurawan,9.6840203,118.5427888
Liaodian,45.635251,127.059878
Thymianá,38.3143554,26.1321521
Dębno,52.746302,14.7015401
Le Raincy,48.9005909,2.5197726
Bieligutai,44.0150814,114.9755481
Ḩawsh ‘Īsá,30.9128,30.29018
Huanan,46.239185,130.553343
Shah Alam,2.9864896,101.5395705
Tairua,-37.002374,175.848229
Los Frentones,-26.4070347,-61.4128561
Metsemotlhaba,-24.5551012,25.8107681
Río Colorado,-34.6146409,-58.5056396
Borås,57.7197857,12.933356
General Pinedo,-34.679347,-58.3762722
Porsgrunn,59.0897572,9.6973548
San José,9.9165452,-84.1014639
Linao,14.572396,120.995514
Bojongsari,-6.3991308,106.7411559
Macari,-14.7704597,-70.9026649
Tagbilaran City,9.6399306,123.8572829
Haarlem,52.3626877,4.6195236
Pasadena,34.1349887,-118.1507494
Haugesund,59.3947609,5.3329119
San Nicolás de los Arroyos,-33.3672731,-60.1976374
Oslo,59.9128876,10.7612521
Guocun,31.2570292,121.492796
Okpoma,6.6635241,8.6050736
Khuan Don,6.7762942,100.0952764
Palaiochóri,40.4930573,23.6502521
Orzu,37.5612848,68.8138658
Saint-Louis,47.6329545,7.4839022
Krajan,-7.5450262,111.6556388
Godong,-7.0519444,110.7480064
Viljakkala,61.7016711,23.2638837
Chaoyang,41.57365,120.4493879
Jixian,40.04606,117.408306
San Pedro,25.7572143,-102.9838564
Skurup,55.4763949,13.5019331
Itoman,26.1288392,127.6681281
Çlirim,40.4187499,20.5535753
Buraen,-10.2876794,123.8969328
Gogosuket,-8.0896,112.2944
Hechuan,29.972084,106.27613
Mitry-Mory,48.9802395,2.612562
Sunfang,27.867118,116.18757
Dún Laoghaire,53.291512,-6.133718
Luntai,41.777702,84.252156
Lamoso,41.3191581,-8.3601548
Desa Borogojol,-7.034968,108.1725154
Zhongdong,22.826877,107.840624
Shibīn al Kawm,30.5604564,31.0079484
Rifu,38.3275514,140.9724231
Shirahamachō-usazakiminami,34.7757093,134.7206721
Velagići,44.5597467,16.7228288
Bagneux,48.7946784,2.3067496
Indramayu,-6.33731,108.3258329
Shatalovo,54.333333,32.466667
Tizgane,35.41211,-5.06836
Akzhal,49.6927765,75.5895888
Londiani,-0.1634664,35.5931397
Guali,25.234479,110.179953
Vorontsovka,46.6522807,38.0818378
Brumadinho,-20.1514708,-44.2010909
Tanahmerah,-6.080007,140.276147
Banjar Swastika,-8.4318,114.86
Itapetininga,-23.5795137,-47.9985512
São José,-27.6140791,-48.6370861
Cipari Satu,-7.428179,108.7437098
Bugko,12.5350875,124.7907837
Paty do Alferes,-22.4313914,-43.4289497
Jiyizhuang,39.239268,113.494587
Baing,-10.22485,120.548897
Lady Grey,-30.7102921,27.2382163
Sui’an,24.115578,117.618772
Ninove,50.8441986,3.9438609
Camaquã,-30.8493976,-51.8048311
Pazin,45.2397599,13.9373092
Magay,14.5966665,121.1870788
Los Angeles,34.06,-118.31
Camilaca,-17.2425,-70.4083333
Quebracho,-31.9326576,-57.9020535
Manjacaze,-24.7057037,33.8801952
Yankou,27.644731,111.554576
Rrapë,42.0416939,19.94522
Jatinagara,-6.2307016,106.8827427
Buriti Bravo,-5.8327847,-43.8356779
Fort-de-France,14.641514,-61.0512822
Fuli,51.5420631,7.6793978
Kosai-shi,35.1684393,138.6660042
Mogzon,51.7419091,111.9603596
Chicoana,-25.1042007,-65.5381671
Albufeira,37.0939437,-8.2461254
Ilhabela,-23.8158392,-45.3664809
Vale de Figueira,38.8208757,-9.1030431
Balky,47.3845072,34.9321089
Lamut,16.6500928,121.2238236
Heyou,30.0746,107.367072
Abomey,7.1854773,1.9979411
Cibitungmasjid,-6.2829488,107.0833701
Bidikotak,-9.8323,120.1821
Yijing,22.555855,114.140113
Carcassonne,44.346784,5.8855505
Baishan,41.933917,126.422806
Bergvliet,-34.0479376,18.4543113
Ylöjärvi,61.549558,23.5960975
Yuzhai,34.1009765,114.2138957
Mircze,50.6507001,23.8954385
Pau,15.0929667,120.6560529
Jampang Tengah,-7.0800534,106.79719
Karasuk,53.7253057,78.0495272
Pedro Leopoldo,-19.6189005,-44.0404979
Heshan,22.765392,112.964446
Kista,59.4075977,17.9282806
Jacksonville,30.3321838,-81.655651
Alhos Vedros,38.6559826,-9.0096184
Dallas,32.9985237,-96.84046
Bijia,27.283955,105.291643
Lidian,32.272766,119.579153
Landskrona,55.8569131,12.9108819
Sumuragung,-7.1665502,111.9969626
Almeria,37.4852899,-2.2959788
Manila,14.3641338,120.9314495
Paris La Défense,48.8887915,2.2458912
Sacramento,38.58,-121.49
Watoona,-8.4793,123.0902
White River,-25.330584,31.016119
Vaitape,-16.5062723,-151.7495305
Assis,-22.6604341,-50.4187813
Paola,35.880105,14.510096
Acas,-10.4571094,-77.3270581
Shiyan,32.629398,110.798266
Malax,62.9197246,21.6323072
Huntington,38.4099999,-82.4599999
Saint-Étienne,45.4815563,4.3637137
Bhunya,-26.5380011,30.9962356
Bunia,1.574278,30.2397336
Tarbes,50.4734865,2.9394741
Tacoma,47.25,-122.44
Huangcun,23.131797,113.407143
Tālīn,35.14849,36.03288
Xihongmen,39.7898,116.328689
Amieira,41.1848533,-8.6239676
Cincinnati,39.2708955,-84.3279093
Mayfa‘ah,14.26411,47.584629
Maciejowice,51.6919243,21.5535126
Caminaca,-15.3238828,-70.0737598
Marsa Alam,25.0676256,34.8789697
Puteaux,48.8834605,2.2335234
Xinshao,27.320917,111.458656
Repušnica,45.4949897,16.7305754
Pirajuí,-21.9929318,-49.4547036
Brodarica,43.6743315,15.9193188
Bintawan,16.5196395,121.1798821
Babagan,-6.7061169,111.4320603
Minyue,39.579208,109.708633
Wantou,27.976295,104.319304
Knjazevac,43.5660829,22.2466754
Cambebba,-3.8017999,-38.4809114
Okpo,7.216175,7.5599321
Minato,35.6726588,139.7796498
Tais,-7.267752,112.745253
Tambobamba,-13.945728,-72.1756733
Zengtian,24.018269,114.987268
El Copey,10.148976,-73.960233
Geshan,31.887402,115.440283
Vikhorevka,56.114128,101.186866
Pinyug,60.2496387,47.7885614
Liping,26.230385,109.136724
Sonquil,15.988415,120.3899324
Rinconada,-24.1973637,-65.2994788
Załuski,52.4977237,20.5022109
Koz’modem’yansk,56.3419,46.56353
Gilowice,49.7053824,19.2911275
Shangzhuang,38.036815,114.382611
Bukowina Tatrzańska,49.3359789,20.1084256
Maunuri,-8.8899,121.2806
Azul,-34.7796334,-58.6040349
Yanwang,36.494677,117.694692
Anqing,30.531919,117.115101
Nanton,50.35008,-113.76866
Miguel Calmon,-11.3781106,-40.6039185
Bella Vista,18.4530602,-69.9474964
Waimangura,-9.4964,119.2262667
Luopu,37.073667,80.188986
Ostravice,49.5255788,18.3904377
Hualong,35.777346,115.074151
Açu,-5.5774536,-36.9147407
Benito Juarez,16.3047672,-95.244405
Magtangol,14.592558,121.0227579
General Enrique Godoy,-38.9351182,-68.2320043
Novogireyevo,55.7483994,37.8009297
Xiangyang,32.009016,112.122426
Bunigeulis,-7.066667,108.416667
Anhua,28.374107,111.212846
Sarvābād,35.3100829,46.3708668
Hefu,31.820591,117.227219
Sanming,26.263406,117.638678
Montréal,45.5080397,-73.564543
Rimpakgede,-7.2763,108.3561
Patnongon,10.9322366,121.9864492
Los Palacios,22.588115,-83.2425711
Vargem Grande,-3.7127631,-43.8673222
Anjirserapat,-3.233333,114.533333
Yanguan,27.851032,120.120494
Naudero,27.7537155,68.4470397
Talpe,5.995876,80.284415
Guia,37.1264754,-8.2996637
Shunling,25.58038,111.947363
Yongchang,38.243169,101.984648
General Enrique Mosconi,-38.7589114,-62.2749967
Wao,7.6405168,124.7234856
Al Khafjī,28.4256618,48.4887224
Meylan,45.203406,5.764182
Scottsdale,33.6160293,-111.8926303
Wanglian,37.2715427,109.0311079
Kericho,-0.3688967,35.286286
Novomykolayivka,45.3083461,36.0579603
Rueil-Malmaison,48.8708001,2.166848
Mauá,-23.668163,-46.4617086
Siemiątkowo,52.8803476,20.0444513
Weiyang,34.293171,108.946651
Ibung,16.6054808,121.1848786
Taza,34.2105603,-3.9980485
Sambungjaya,-7.356466,108.207518
Webuye,0.5992059,34.779603
Cantilan,9.2610401,125.9638162
Wadi,27.272726,98.875784
Flushing,40.7493096,-73.8213213
Albania,5.759368,-73.91453
Xiaohe,35.202503,102.521807
Sumbergebang,-8.2174219,113.5516516
Khao Kho,16.6482598,101.0118776
Mestre,45.469429,12.2400678
Aoluguya Ewenke Minzu,52.17596,122.07903
Hongqiao,28.220406,121.038129
Klobuky,50.2940131,13.9874928
Mingshui,47.173426,125.9063009
Kapasan,-7.2425008,112.7524553
Altanbulag,50.3100516,106.4966629
Lubuagan,17.35326,121.1725903
Shangchewan,29.806827,113.013638
Haunubenak,-9.9478,124.5363
Gaofeng,29.432849,110.923502
Vysokovsk,56.3181237,36.5573127
Qixing,25.2527,110.317826
Huangcai,28.148729,112.124865
Muromtsevo,55.6942718,74.3214928
Kota Bharu,6.12151,102.2400127
Götene,58.5235952,13.4953857
Wudian,37.77026,117.625696
Rotterdam postbusnummers,51.8796,4.5059
Kratié,12.4896877,106.0287512
Malainen Luma,14.31865,120.765351
Changping,22.974898,113.993115
Airuk,7.068209,171.281541
Dalsjöfors,57.7189182,13.0953584
San Jerónimo,-13.54918,-71.893158
Wangge’ertang,35.237207,102.827734
Utmānzai,34.1840093,71.7791319
Kedrovoye,56.6941681,60.8287334
Gävle,60.684976,17.153166
Villa General Belgrano,-34.5869807,-58.5484437
San Luis,8.47834,125.743983
Tiantai Chengguanzhen,29.163159,121.007244
La Playosa,-32.0974801,-63.0334803
Kaélé,10.1111834,14.4432179
Lubomierz,51.0126464,15.510661
Soldato-Aleksandrovskoye,44.263401,43.7629729
Strumica,41.441441,22.64183
Nong Yai,13.1285787,101.3658004
Meiyao,32.840217,117.229368
Telêmaco Borba,-24.3273656,-50.6139816
Cawayan Bugtong,15.6645764,120.7727197
Tanggu,39.029567,117.661082
Subusub,16.228139,120.4936309
Longquan,28.074649,119.141473
Puqian,20.023731,110.580002
Alcantara,12.2551576,122.0533593
Kulotino,58.4536208,33.3707377
Minas de Marcona,-12.066752,-77.038116
Yu’erhong,39.646905,97.130625
Uchkeken,43.9336277,42.5107159
Zhongxing,30.920219,103.620536
As Suwaydā’,32.7128968,36.5662858
Uchkulan,43.4539508,42.0911606
Motema,8.550734,-11.352539
Shaxi,26.312444,99.850365
Oroqen Zizhiqi,50.591842,123.726201
Čejkovice,49.0122384,14.3800489
Slatina,45.9589716,16.3852937
Bornu Yassu,12.2711071,12.5807242
Mabunga,13.8645517,122.0680526
Kerva,55.6032817,39.5751117
Bagong Sikat,14.5326092,120.99848
Lampari,6.382615,124.789568
Netanya,32.321458,34.853196
General Ramírez,-32.8676273,-68.8225775
Vnanje Gorice,45.9701086,14.3737786
Changning,31.220367,121.424624
Rautalampi,62.6243044,26.8277488
Calauag,13.9573134,122.2887594
Jiangkou,27.69965,108.839557
Rousínov,49.2012812,16.8821522
Bechyně,49.2952364,14.4681017
Pulosari,-7.158502,109.263397
Fuyang,32.890479,115.814504
Sagua de Tánamo,20.5800358,-75.2435307
Guantang,24.304673,113.136459
Fresnes,48.759003,2.323941
Xiaojing,36.833095,116.993893
Oslo,59.9522733,10.6776776
Mutang,19.804587,109.355828
Ar Riqāmā,34.53879,36.91909
Voyutychi,49.5508417,23.1084348
Ili,-2.9863917,104.7321081
Svitlovods’k,49.0496835,33.2284693
Panshan,41.242873,121.996499
Petrijevci,45.6438305,18.5215008
Serra de Água,32.7295749,-17.022417
Rancaseneng,-6.755504,105.8613233
Shuangshi,31.50199,115.75596
Ganhe,30.3645144,113.4276436
Dacheng,38.705449,116.653793
Novosemeykino,53.3791711,50.3248312
Dongji,30.190334,122.689752
Tampocon,9.8566537,123.1426191
Marhanets’,47.6489237,34.6105197
Ekpoma,6.7491405,6.0732146
Puerto Montt,-41.468917,-72.9411364
Nchelenge,-9.353427,28.7402073
Portela,41.1604713,-7.7452871
Watsa,3.033069,29.5397706
Arklow,51.880525,-8.4523258
Wenshao,27.993828,120.699361
Donghoufang,38.174362,114.908822
Libei,23.2252,113.148534
Lianjiangkou,46.857141,130.325723
Taouloukoult,31.2219543,-9.0736964
Tiandiba,28.721763,108.389861
Huntington,38.42,-82.47
Utrecht (stad),52.08234,5.1175293
Krajan Craken,-8.2962,111.5437
Valledupar,10.072035,-73.7007088
Zhiryatino,53.2252531,33.7298819
Tahala,34.0542897,-4.4259259
Mirontsi,-12.1579355,44.4146374
Västanfjärd,60.0499479,22.6666377
Nueva Helvecia,-34.3042878,-57.2310521
Zubin Potok,42.9148171,20.6897443
Xiaolin,33.989451,105.097568
L’vovskiy,46.4078031,47.9992194
Xin’an,34.728584,112.132488
Iwo,7.6292088,4.1872178
Independence,39.1063109,-94.4439365
Taytay,10.9915855,119.5914817
Torre do Pinhão,41.3743894,-7.6099869
Morada Nova,-5.0662102,-38.3587174
Sundbyberg,59.3687545,17.9778073
Charlotte,35.21,-80.69
Martil,35.6196262,-5.2841177
Umm Şalāl ‘Alī,25.4695749,51.3968437
Guanxi,23.7247599,108.8076195
Heishui,32.061895,102.990108
Gaocheng,38.021567,114.847075
Dobrovo,45.9974545,13.5270951
Lijiazui,31.239878,121.499673
Herong,30.701369,111.98348
Huping,30.00415,110.246747
Cimuncang,-6.1130137,106.1610343
Juai,-2.2728607,115.5917918
Sobral da Adiça,38.0206378,-7.2626804
Zhongxing,30.920219,103.620536
Sigli,5.3847763,95.9602371
Boroko,0.9073068,123.2559847
Chongru,23.636404,111.658698
Logon,11.3269147,124.116652
Harnoli,32.2865221,71.5558263
Əhmədbəyli,39.5791451,47.5422138
Sātkania,22.1059284,92.086133
Severka,56.8674893,60.2882554
Liushi,28.03825,120.892196
Rubizhne,49.0161213,38.3751403
Accha,-13.9705607,-71.8326771
Chojnów,51.2732,15.93648
Bystrytsya,48.4703688,24.2784263
Vyatskiye Polyany,56.2208485,51.0782323
Babana,10.436633,3.8171953
Hengshitang,23.119924,113.309317
Karangkeng,1.4862816,124.8381456
Shixi,28.438851,120.564983
Mégara,37.9943201,23.3430496
Épinal,48.2576572,6.4140214
Pácora,5.527995,-75.459881
Liwu,22.493492,113.49349
Pangkalanbuun,-2.688962,111.622398
Parczew,51.64027,22.9003199
São Marcos,-28.9481925,-51.0749483
Bangunsari,-8.1938024,111.0847891
Geoktschai,40.6236168,47.7403034
Nurlat,54.3231922,50.8118074
Sydney South,-33.8688197,151.2092955
Entre Rios,-26.7416528,-52.5852334
Xiangyanglu,38.2792524,111.6631302
Malbug,12.0166664,123.6833344
Simapu,23.254488,116.370159
Lugo,42.9782326,-7.5626411
Vila Boa do Bispo,41.1298235,-8.2201345
Victoria Falls,-17.9318052,25.8255575
Frankfurt am Main,50.1157078,8.6591469
Wanfa,46.228975,125.341286
Matsumoto,38.7496144,140.3012172
Wolongquan,28.074649,119.141473
Atipuluhan,10.5423489,122.9635773
Hofors,60.54595,16.2841
Pelópion,37.6753305,21.5926702
Qelëz,42.095742,19.909723
Bojadła,51.9466854,15.8079723
Nancun,38.062428,114.645657
Mauponggo,-8.8598312,121.193945
Krajansumbermujur,-8.1375,113.0219
Temeke,-6.9206542,39.2187828
Panorama,-21.3653841,-51.8677296
Offenbach,50.0809432,8.8107219
Banjar Sengguan,-8.6051214,115.1600621
Carmen de Viboral,6.1205312,-75.2803017
Watsa,3.033069,29.5397706
Kantemirovka,49.7001031,39.8634775
Sundbyberg,59.3687545,17.9778073
Bieniewice,52.182599,20.5627943
Koímisi,41.2130334,23.2996379
Grazhdanskoye,48.4935627,135.0631263
Jiaomingsi,30.7833,114.41144
Muzambinho,-21.35188,-46.4970116
Boudinar,35.1524362,-3.6293797
Looc,12.261245,121.990929
Milton,53.248446,-0.934063
Javhlant,47.78333,112.11667
Veranópolis,-28.9427186,-51.5507365
Casilda,-32.9285798,-60.6923382
Sarrebourg,48.7336014,7.0523637
Nice,43.6953508,7.2559678
Banjar Ponggang,-8.3893,115.2605
Rakiv Lis,51.6203554,24.9194195
Luleå,62.4150445,17.2885932
Winburg,-28.5323842,26.9999584
Jardim do Seridó,-6.5843262,-36.7731681
Hidalgo,20.0910963,-98.7623874
Barrancas,8.7603327,-70.1158113
Bystřany,50.6286293,13.8637153
Notre-Dame-des-Prairies,46.05007,-73.43245
Lac du Bonnet,50.2536,-96.06116
Chuanpu,22.6085156,113.1882767
Baishuitan,28.998299,110.464464
Duyun,26.259427,107.518847
Stockholm,59.3362401,18.0232365
Zipárion,36.8771299,27.2053498
Arroio do Meio,-29.3652193,-51.9580164
Bitam,2.0779721,11.4963935
Maroa,2.7005604,-66.8081979
Ban Kruat,14.419531,103.1008409
Bantengan,-8.1661664,111.7480514
San Nicolás,14.9415552,-88.3263603
Cihe,35.786026,109.459516
Póvoa de Santo António,40.5045999,-7.9318645
Alexandria,38.8,-77.05
Strängnäs,60.2527141,16.7904143
Sakai-nakajima,36.2656673,139.250061
Châteaudun,43.470556,1.4974024
Dvorovi,44.8039803,19.2621377
Heerlen,50.9212447,5.9651892
Alcabideche,38.7285284,-9.4069248
Saraktash,51.7920503,56.3442985
Diaofeng,26.694208,115.939083
Curug,-6.1869527,106.1698563
Heredia,9.979992,-84.158761
Melaka,2.286994,102.305535
Morawica,50.0751139,19.7530653
Houjiagang,29.519664,116.854021
Lukovë,39.9915265,19.9154479
Turgenevo,54.8630265,46.3388109
Pisang,-2.269994,110.724701
Santarém,39.2298803,-8.6901131
Lipu,24.488342,110.395104
Baisha,26.641315,100.222545
La Fortuna,14.5732425,121.020976
Pojok,-7.8169756,111.9790773
Oslo,59.9047305,10.7670564
Kutao,36.1460832,120.4873619
Jacksonville,30.3276652,-81.6631259
Macayug,16.0768029,120.4222511
Bueng Khong Long,17.9670882,104.0444828
Daniëlskuil,-28.183771,23.5609459
Jagüey Grande,22.5267186,-81.1278814
Zaliznychne,47.6479788,36.164764
Jõhvi,59.3573116,27.4136645
La Molina,-12.0820196,-76.928234
Salvacion,13.06667,123.61667
Skała,50.2304098,19.8541516
Pangatikan,-7.1824754,108.0272646
Shostka,51.8757044,33.4966152
Choca do Mar,40.4889794,-8.7011957
Nekla,52.3648742,17.4133285
Kuzhu,26.982106,117.980053
Passos,-20.7430332,-46.6096926
Kolbuszowa,50.24417,21.77627
Karagandy,49.8046835,73.1093826
Jiashi,39.488181,76.723719
Zhongben,24.983953,101.527027
Kyriáki,38.3541519,22.7869993
Kolondiéba,11.0915371,-6.8914024
Misawa,37.8806901,140.1356792
Nijmegen,51.8417492,5.8715134
Xitan,31.282537,120.819425
Coruripe,-10.0519585,-36.2196853
Cristalina,-16.7073638,-47.5275422
Gizo,-8.1058258,156.8349986
Alcala,17.902174,121.653543
Cibugel,-6.9641448,108.0124469
Acobambilla,-12.67442,-75.325157
Xuân Trường,20.2993311,106.3581527
Kanchanaburi,14.6702846,99.6404495
Bato,14.5144041,121.0406718
Domoni,-12.2632051,44.5290018
Tigaon,13.6154575,123.489418
Savonranta,62.1738098,29.2055142
Zgłobień,50.0113078,21.846991
Balucawi,14.6539775,121.0288525
Kalmar,56.6739933,16.2869539
Bielawa,51.7717109,15.921227
Elat,-5.657692,132.991547
Koźmin Wielkopolski,51.82709,17.4539199
Benešov nad Černou,48.7233569,14.6338236
Mahdia,43.6422125,-79.3744257
Kŭrdzhali,41.7220316,25.3726469
Ciudad Vieja,14.52309,-90.764589
Puhechang,28.952878,106.837744
Colmar,48.0724737,7.3469006
Metchosin,48.382005,-123.53785
Paojan,-6.9559495,107.5099087
Lyon,43.0429124,1.9038837
Sarongan,-8.516612,113.8822686
Cowansville,45.2114093,-72.7399622
Baipenzhu,23.067896,115.027634
Nkwerre,5.7647948,7.0982581
Platičevo,44.8245862,19.771335
Kalanguy,51.0192046,116.5108072
Marathókampos,37.7272804,26.6892471
Dek’emhāre,15.0712647,39.0450242
Hobor,41.28802,112.627673
Valle de Ángeles,14.160407,-87.0399404
Béziers,43.3362822,3.2188961
White Rock,49.0253085,-122.802962
Villejuif,48.7823921,2.368326
Richky,51.1164143,34.4870021
Muang Phôn-Hông,18.5054233,102.4179988
Bella Vista,-27.0501654,-55.5746294
Riosucio,5.4238154,-75.8185314
Non Sang,16.9457374,102.5757028
Teluksantong,-8.7229245,117.8663075
Vallegrande,-18.4902959,-64.1123359
La Francia,-34.5261401,-58.4973437
Mujur,-8.7615563,116.3574136
Sibiti,-3.6846513,13.3500652
Liuche,24.726833,115.64556
Itaparica,-12.8955513,-38.6779363
Longtan,25.075123,117.017536
Guidong Chengguanzhen,26.079079,113.950153
Uvarovo,52.0016128,42.344717
Taurisma,-15.18339,-72.858932
Osieczany,49.8401383,20.0045112
Huikou,20.044412,110.198286
Bridgetown,13.0968511,-59.6144819
Star’,53.6182497,34.152126
Bobo-Dioulasso,11.1649219,-4.3051542
San Quintin,16.004175,120.7806412
Duishan,28.90499,109.667164
Ngedhusuba,-8.9542,121.032
Gelin,25.234479,110.179953
Caracol,19.6925744,-72.017927
Pokrovo-Prigorodnoye,52.6958598,41.4284466
Biliri,9.8513884,11.1164452
Monte Alto,-21.2846176,-48.5316897
Banjar Bali,-8.7080752,115.1808171
Vällingby,59.3639237,17.8769444
Paris La Défense,48.890054,2.2372792
Alzamay,55.6776356,99.1467618
San Pedro,25.7572143,-102.9838564
Wawa,9.9037751,4.4053497
Far‘ūn,32.28548,35.021481
Gbawe,5.5773983,-0.3136781
Dallas,32.832584,-96.797592
Belanting,-8.321199,116.5963713
Kimaam,-7.9613539,138.7995122
Kresek,-6.143977,106.3993658
Saint-Quentin,45.311057,5.5463235
Nagoya-shi,35.8504632,140.3548218
Singajaya,-7.4908572,107.8880075
Hualmay,-11.0883431,-77.6106512
Wuxi,31.491169,120.31191
Pasatan,-6.8900337,113.6034122
Villa Aglipay,15.461001,120.465946
Mbomba,-0.5223759,121.674572
Xiaomei,36.386498,120.4393126
Karlovy Vary,50.2318521,12.8719616
Jieshipu,28.262375,109.698015
Hongsi,38.604702,100.825981
Leles,-7.1056569,107.9005972
Lozova,48.8902362,36.308001
Bāsht,30.3619359,51.1611537
Wobulenzi,0.7193581,32.531617
Zilang,27.301177,105.537179
Ventspils,57.3937216,21.5647066
Yangxiang,24.348365,105.759939
Ciparakan,-7.5831538,108.6353764
Hŭngju-dong,40.99629,126.54756
Vogar,63.9825,-22.379
Savran’,48.1351158,30.077048
Cândido Mota,-22.7475609,-50.3834929
Huazhaizi,38.5,101.21667
Odiongan,12.405227,121.990643
Ma Đa Gui,11.383932,107.5386809
Quemú Quemú,-36.6419362,-64.3204306
Vrbno pod Pradědem,50.1209479,17.3831619
